Model,Accuracy,Precision,Recall,F1-Score
XGBoost,0.9328805433479824,0.15384615384615385,0.00404040404040404,0.007874015748031496
Random Forest,0.9286189905446797,0.044444444444444446,0.00404040404040404,0.007407407407407408
Logistic Regression,0.9340791050739113,0.0,0.0,0.0
SVC,0.9340791050739113,0.0,0.0,0.0
KNN,0.9314156345718471,0.08333333333333333,0.00404040404040404,0.007707129094412331
MLP,0.9340791050739113,0.0,0.0,0.0
